#id: 3323691995
#name: Oryza sativa Japonica Group - Leaf, iBAQ (Mengetal,jproteomics2018)
#score: 8.4
#description: abundance based on iBAQ, Interaction consistency score: 8.4, Coverage: 12
#organ: LEAF
#integrated: false
#coverage: 12
#link: http://www.ncbi.nlm.nih.gov/pubmed/29970347
#publication_year: 2018
#filename: 39947-PXD008069_rice_leaf.txt
#
#internal_id	string_external_id	abundance
55946081	39947.Q8GTK4	22074	116624791533
55934220	39947.Q40677	20945	122717081991
55915592	39947.A0A0P0WP33	17896	191689849501
55947619	39947.Q943W1	16365	120815168418
55927956	39947.Q0DEU8	16158	215533783436
55927232	39947.P0C364	15255	113834349640
55927978	39947.Q0DFC9	14146	24771256667
55943637	39947.Q7F2G3	13316	76962738733
55924993	39947.A3C6G9	13002	44565172800
55943941	39947.Q7X8A1	12259	125087997292
55931177	39947.Q10D68	10871	107868686402
55925679	39947.B9F813	10816	75583012400
55948379	39947.Q9SNK3	10587	121213898928
55929928	39947.Q0J8M2	10579	15678692000
55945352	39947.Q7XZW5	10500	54012823900
55927166	39947.O64937	10370	64131987868
55927247	39947.P0C437	9987	39669735833
55939835	39947.Q6H748	9816	29585491533
55932820	39947.Q2QSR7	9578	78058947066
55927233	39947.P0C367	9238	67733042233
55934426	39947.Q53N83	9184	46363558184
55931129	39947.Q10CE4	9009	83643096039
55942333	39947.Q6ZBZ2	8943	15017421201
55927328	39947.P14655	8432	61154422632
55927246	39947.P0C434	7902	52513412699
55917897	39947.A0A0P0X592	7756	11408950901
55943397	39947.Q75M32	7591	31475071000
55927231	39947.P0C361	6803	13706994161
55927445	39947.P93431	6776	55716654202
55927406	39947.P48494	6774	39346299334
55939532	39947.Q6F361	6674	32572824333
55940987	39947.Q6YT73	6638	73081814608
55932210	39947.Q10S82	6530	56442549990
55927442	39947.P93407	6449	20291889911
55927217	39947.P0C2Z6	6060	63916386298
55946083	39947.Q8GTK8	6036	43471037201
55928537	39947.Q0DTF5	5957	1774076633
55938639	39947.Q69V57	5823	33562790101
55929920	39947.Q0J8A4	5811	51984350098
55942639	39947.Q6ZH98	5579	17831940132
55938623	39947.Q69UU3	5277	46266000400
55932869	39947.Q2QU06	5274	69156162199
55948328	39947.Q9LWT6	5207	74193256437
55944115	39947.Q7XDC8	5158	29206569257
55927307	39947.P12085	5046	131919925702
55942511	39947.Q6ZFI6	4858	44659026900
55947831	39947.Q94JA2	4845	25314291664
55934942	39947.Q5JNB0	4820	44786552802
55938805	39947.Q6ASY2	4789	14691396333
55927268	39947.P0C512	4787	74598028331
55942514	39947.Q6ZFJ3	4699	38047387486
55941760	39947.Q6Z411	4655	23256291266
55947311	39947.Q8S6F2	4547	63525064664
55943705	39947.Q7FAH2	4439	57330673464
55927323	39947.P12331	4438	41843357998
55938770	39947.Q69Y99	4385	19670173446
55921484	39947.A0A0P0XTT3	4273	110593421604
55929922	39947.Q0J8G4	4243	28869841737
55927322	39947.P12330	4210	42066015333
55941060	39947.Q6YU90	4173	37078104767
55944692	39947.Q7XPR2	4168	35054806102
55927163	39947.O64422	4124	32133009832
55931314	39947.Q10HD0	4071	34289218667
55928114	39947.Q0DI00	4007	13645984033
55908951	39947.A0A0P0V969	3904	43654627565
55927239	39947.P0C389	3823	35000559236
55942326	39947.Q6ZBV1	3756	6456176334
55928953	39947.Q0E4K1	3669	49150792460
55938141	39947.Q69K00	3638	29590495501
55941411	39947.Q6YZE2	3525	30935194702
55923741	39947.A0A0P0Y838	3433	58126576565
55939232	39947.Q6ER94	3390	17946504633
55947930	39947.Q9ASP4	3367	31531440034
55905708	39947.A0A0N7KJ79	3364	19976384666
55927389	39947.P41344	3338	30171976130
55923737	39947.A0A0P0Y832	3295	83757025184
55942699	39947.Q6ZI53	3229	35255591467
55942125	39947.Q6Z8F4	3105	28492625501
55947524	39947.Q93X08	3058	35189259970
55943902	39947.Q7X7H3	3047	20589352261
55927271	39947.P0C522	2962	30108378509
55939772	39947.Q6H6D2	2953	19155676801
55945574	39947.Q84PB4	2935	9759726699
55941944	39947.Q6Z6B5	2893	14481040499
55908711	39947.A0A0P0V7A3	2879	20711592533
55942483	39947.Q6ZF30	2734	14554206766
55928186	39947.Q0DJB9	2728	14803069137
55927230	39947.P0C358	2710	34338807677
55943484	39947.Q7EYM8	2680	20146135667
